,time,open,high,low,close,tick_volume,spread,real_volume
0,2024-11-22 16:30:00,1.04115,1.04257,1.04024,1.04048,3320,0,0
1,2024-11-22 17:00:00,1.04045,1.04202,1.03951,1.04127,3705,0,0
2,2024-11-22 17:30:00,1.04127,1.04183,1.04016,1.04107,3168,0,0
3,2024-11-22 18:00:00,1.04107,1.04119,1.0392,1.03956,2396,0,0
4,2024-11-22 18:30:00,1.03956,1.03999,1.03936,1.03984,1312,0,0
5,2024-11-22 19:00:00,1.03984,1.04101,1.03983,1.04093,1368,0,0
6,2024-11-22 19:30:00,1.04093,1.04205,1.04082,1.0419100000000001,1048,0,0
7,2024-11-22 20:00:00,1.0419,1.04254,1.04186,1.04206,1101,0,0
8,2024-11-22 20:30:00,1.04206,1.04228,1.04149,1.04167,1187,0,0
9,2024-11-22 21:00:00,1.04167,1.0419,1.04138,1.04148,818,0,0
10,2024-11-22 21:30:00,1.04148,1.04148,1.04087,1.04109,861,0,0
11,2024-11-22 22:00:00,1.04109,1.04148,1.04081,1.04145,910,0,0
12,2024-11-22 22:30:00,1.04145,1.04176,1.04129,1.04145,923,0,0
13,2024-11-22 23:00:00,1.04146,1.04179,1.04134,1.04177,626,0,0
14,2024-11-22 23:30:00,1.04176,1.04205,1.04144,1.04193,419,0,0
15,2024-11-25 00:00:00,1.04811,1.04817,1.04624,1.04665,713,17,0
16,2024-11-25 00:30:00,1.04665,1.04814,1.0466,1.04811,1307,17,0
17,2024-11-25 01:00:00,1.04811,1.05012,1.04638,1.04984,1719,0,0
18,2024-11-25 01:30:00,1.04985,1.05011,1.04766,1.04795,1610,0,0
19,2024-11-25 02:00:00,1.04794,1.0485,1.04737,1.04777,1569,0,0
20,2024-11-25 02:30:00,1.04775,1.04849,1.04747,1.04812,1259,0,0
21,2024-11-25 03:00:00,1.04805,1.04876,1.04741,1.0487,1429,0,0
22,2024-11-25 03:30:00,1.04871,1.04901,1.04762,1.04779,1492,0,0
23,2024-11-25 04:00:00,1.04778,1.0485,1.04745,1.04845,970,0,0
24,2024-11-25 04:30:00,1.04846,1.04894,1.04838,1.04871,1101,0,0
25,2024-11-25 05:00:00,1.04869,1.04883,1.04815,1.04839,972,0,0
26,2024-11-25 05:30:00,1.04833,1.04855,1.04757,1.04779,888,0,0
27,2024-11-25 06:00:00,1.04778,1.048,1.04746,1.04785,691,0,0
28,2024-11-25 06:30:00,1.04784,1.04811,1.04768,1.04793,527,0,0
29,2024-11-25 07:00:00,1.04795,1.04831,1.04753,1.0478,710,0,0
30,2024-11-25 07:30:00,1.04779,1.04807,1.04765,1.04793,747,0,0
31,2024-11-25 08:00:00,1.04791,1.04891,1.04749,1.04871,1203,0,0
32,2024-11-25 08:30:00,1.04871,1.04896,1.04822,1.04836,1028,0,0
33,2024-11-25 09:00:00,1.04832,1.04838,1.04695,1.04707,1567,0,0
34,2024-11-25 09:30:00,1.04706,1.0471,1.04498,1.04506,1646,0,0
35,2024-11-25 10:00:00,1.04509,1.04595,1.04489,1.04535,2425,0,0
36,2024-11-25 10:30:00,1.04535,1.04672,1.04508,1.04655,2007,0,0
37,2024-11-25 11:00:00,1.04655,1.04871,1.04632,1.04745,2636,0,0
38,2024-11-25 11:30:00,1.04745,1.04972,1.04741,1.04896,1934,0,0
39,2024-11-25 12:00:00,1.04895,1.04943,1.04856,1.04907,1772,0,0
40,2024-11-25 12:30:00,1.04908,1.04969,1.04836,1.04861,1465,0,0
41,2024-11-25 13:00:00,1.0486,1.04905,1.04803,1.04832,1103,0,0
42,2024-11-25 13:30:00,1.04832,1.04848,1.04751,1.04795,1330,0,0
43,2024-11-25 14:00:00,1.04794,1.04839,1.04741,1.04759,1442,0,0
44,2024-11-25 14:30:00,1.04759,1.04934,1.04754,1.04887,1533,0,0
45,2024-11-25 15:00:00,1.04887,1.05256,1.04885,1.05207,2786,0,0
