,time,open,high,low,close,tick_volume,spread,real_volume
0,2022-01-03 00:00:00,1.13693,1.13729,1.13645,1.13708,202,22,0
1,2022-01-03 00:30:00,1.13705,1.13742,1.13699,1.13726,369,17,0
2,2022-01-03 01:00:00,1.13725,1.13778,1.1369,1.13723,890,7,0
3,2022-01-03 01:30:00,1.13726,1.13734,1.13687,1.13728,455,7,0
4,2022-01-03 02:00:00,1.13728,1.1375899999999999,1.13662,1.13665,468,0,0
5,2022-01-03 02:30:00,1.13664,1.1367,1.13608,1.13622,586,0,0
6,2022-01-03 03:00:00,1.13622,1.13654,1.13597,1.13628,444,0,0
7,2022-01-03 03:30:00,1.13615,1.13617,1.13497,1.13588,905,0,0
8,2022-01-03 04:00:00,1.13588,1.13589,1.13483,1.13495,663,0,0
9,2022-01-03 04:30:00,1.13496,1.13499,1.13422,1.13427,428,0,0
10,2022-01-03 05:00:00,1.1343,1.13471,1.13423,1.1344,369,0,0
11,2022-01-03 05:30:00,1.1344,1.135,1.13413,1.13482,438,0,0
12,2022-01-03 06:00:00,1.13483,1.1349,1.1343,1.13485,323,0,0
13,2022-01-03 06:30:00,1.13482,1.13482,1.13387,1.13406,346,0,0
14,2022-01-03 07:00:00,1.13406,1.13414,1.13365,1.13368,294,0,0
15,2022-01-03 07:30:00,1.13368,1.1341,1.1336,1.1338,364,0,0
16,2022-01-03 08:00:00,1.1338,1.1343,1.13379,1.13412,443,0,0
17,2022-01-03 08:30:00,1.13412,1.13465,1.1341,1.1343,434,0,0
18,2022-01-03 09:00:00,1.13431,1.1346,1.13361,1.13365,882,0,0
19,2022-01-03 09:30:00,1.13365,1.13501,1.13349,1.1348,1066,1,0
20,2022-01-03 10:00:00,1.13479,1.13479,1.13354,1.13369,1985,0,0
21,2022-01-03 10:30:00,1.13371,1.13473,1.13352,1.13468,1314,0,0
22,2022-01-03 11:00:00,1.13466,1.13567,1.13384,1.13392,1399,0,0
23,2022-01-03 11:30:00,1.13389,1.13559,1.13355,1.13518,1584,0,0
24,2022-01-03 12:00:00,1.13518,1.13598,1.13506,1.13557,1089,1,0
25,2022-01-03 12:30:00,1.13556,1.13593,1.1350500000000001,1.13551,1135,0,0
26,2022-01-03 13:00:00,1.13555,1.1366100000000001,1.1351499999999999,1.13605,1446,1,0
27,2022-01-03 13:30:00,1.13605,1.13625,1.13518,1.13557,1366,0,0
28,2022-01-03 14:00:00,1.13558,1.13563,1.13498,1.1353900000000001,1356,0,0
29,2022-01-03 14:30:00,1.1353900000000001,1.13595,1.13471,1.13585,1860,0,0
30,2022-01-03 15:00:00,1.13585,1.13631,1.135,1.13628,2331,0,0
31,2022-01-03 15:30:00,1.13629,1.1364,1.13456,1.13504,2440,0,0
32,2022-01-03 16:00:00,1.13504,1.13519,1.13246,1.1326100000000001,2250,0,0
33,2022-01-03 16:30:00,1.1326100000000001,1.13291,1.13,1.13062,3449,0,0
34,2022-01-03 17:00:00,1.13066,1.13094,1.12916,1.12959,3207,0,0
35,2022-01-03 17:30:00,1.12958,1.13014,1.12904,1.12918,2872,0,0
36,2022-01-03 18:00:00,1.12919,1.12988,1.12888,1.12927,2401,0,0
37,2022-01-03 18:30:00,1.12926,1.12957,1.1283,1.12888,2370,0,0
38,2022-01-03 19:00:00,1.12888,1.12902,1.12795,1.12816,1443,0,0
39,2022-01-03 19:30:00,1.12815,1.1287,1.12795,1.12837,802,0,0
40,2022-01-03 20:00:00,1.12837,1.12918,1.12829,1.12909,758,0,0
41,2022-01-03 20:30:00,1.12909,1.12969,1.12906,1.12948,673,0,0
42,2022-01-03 21:00:00,1.12948,1.12984,1.12936,1.12979,727,0,0
43,2022-01-03 21:30:00,1.12979,1.12995,1.12948,1.1297,866,0,0
44,2022-01-03 22:00:00,1.12967,1.12991,1.12959,1.1296599999999999,697,0,0
45,2022-01-03 22:30:00,1.1296599999999999,1.13003,1.12938,1.12963,1052,0,0
46,2022-01-03 23:00:00,1.12963,1.1297,1.12941,1.12969,307,1,0
47,2022-01-03 23:30:00,1.12969,1.12989,1.12962,1.12971,265,5,0
48,2022-01-04 00:00:00,1.12961,1.12961,1.1292,1.12931,802,13,0
49,2022-01-04 00:30:00,1.12931,1.1295600000000001,1.1293,1.12938,2219,17,0
50,2022-01-04 01:00:00,1.1294,1.1299299999999999,1.1294,1.12988,695,7,0
51,2022-01-04 01:30:00,1.12988,1.1301700000000001,1.12945,1.13016,388,7,0
52,2022-01-04 02:00:00,1.13016,1.13068,1.13011,1.13038,659,0,0
53,2022-01-04 02:30:00,1.13039,1.13061,1.13035,1.13055,399,0,0
54,2022-01-04 03:00:00,1.1305399999999999,1.1309,1.13049,1.13059,587,0,0
55,2022-01-04 03:30:00,1.13061,1.13069,1.1301700000000001,1.13066,667,0,0
56,2022-01-04 04:00:00,1.13066,1.13082,1.13045,1.13064,497,0,0
57,2022-01-04 04:30:00,1.13064,1.13094,1.12998,1.13023,675,0,0
58,2022-01-04 05:00:00,1.13023,1.1304400000000001,1.12948,1.1299299999999999,736,0,0
59,2022-01-04 05:30:00,1.1299299999999999,1.1301700000000001,1.12975,1.12978,556,0,0
60,2022-01-04 06:00:00,1.12977,1.13013,1.12961,1.13,429,0,0
61,2022-01-04 06:30:00,1.13001,1.13058,1.12998,1.13007,525,0,0
62,2022-01-04 07:00:00,1.13007,1.13058,1.13005,1.13039,501,0,0
63,2022-01-04 07:30:00,1.13039,1.13055,1.13015,1.13049,357,0,0
64,2022-01-04 08:00:00,1.13049,1.13073,1.12939,1.12948,665,0,0
65,2022-01-04 08:30:00,1.12948,1.12981,1.12921,1.1293199999999999,682,0,0
66,2022-01-04 09:00:00,1.1293199999999999,1.12944,1.12849,1.1286,1154,0,0
67,2022-01-04 09:30:00,1.1286100000000001,1.12933,1.12833,1.12917,1626,0,0
68,2022-01-04 10:00:00,1.12917,1.13001,1.12875,1.12964,2500,0,0
69,2022-01-04 10:30:00,1.12963,1.12978,1.12888,1.12893,1665,0,0
70,2022-01-04 11:00:00,1.12897,1.13068,1.1283,1.13056,1972,0,0
71,2022-01-04 11:30:00,1.13056,1.13081,1.12967,1.13022,1651,0,0
72,2022-01-04 12:00:00,1.13022,1.13057,1.12987,1.13024,1480,0,0
73,2022-01-04 12:30:00,1.13024,1.1305,1.12946,1.12948,1307,0,0
74,2022-01-04 13:00:00,1.12949,1.1296599999999999,1.12794,1.12815,1765,0,0
75,2022-01-04 13:30:00,1.12815,1.12856,1.12758,1.12761,2012,0,0
76,2022-01-04 14:00:00,1.12758,1.12835,1.12723,1.12766,2348,0,0
77,2022-01-04 14:30:00,1.12766,1.12814,1.12726,1.12729,1816,0,0
78,2022-01-04 15:00:00,1.12729,1.12898,1.12729,1.12891,1981,0,0
79,2022-01-04 15:30:00,1.12891,1.12891,1.12761,1.12801,1961,0,0
80,2022-01-04 16:00:00,1.1280000000000001,1.12882,1.12777,1.12814,1994,0,0
81,2022-01-04 16:30:00,1.12814,1.12873,1.12784,1.12846,2307,0,0
82,2022-01-04 17:00:00,1.12846,1.13165,1.1283400000000001,1.13118,3545,0,0
83,2022-01-04 17:30:00,1.13116,1.13226,1.13089,1.1309,3793,0,0
84,2022-01-04 18:00:00,1.13092,1.13158,1.12891,1.12921,3354,0,0
85,2022-01-04 18:30:00,1.12918,1.12955,1.12855,1.12947,1990,0,0
86,2022-01-04 19:00:00,1.12947,1.12962,1.12897,1.12921,1061,0,0
87,2022-01-04 19:30:00,1.12924,1.1295,1.12881,1.12937,910,0,0
88,2022-01-04 20:00:00,1.12938,1.12946,1.12899,1.1292,705,0,0
89,2022-01-04 20:30:00,1.12919,1.12919,1.12794,1.12803,957,0,0
90,2022-01-04 21:00:00,1.12803,1.12907,1.12782,1.12892,1092,0,0
91,2022-01-04 21:30:00,1.12891,1.1293199999999999,1.12869,1.12878,880,0,0
92,2022-01-04 22:00:00,1.12878,1.12896,1.12821,1.12821,781,0,0
93,2022-01-04 22:30:00,1.12822,1.12876,1.12808,1.12847,969,0,0
94,2022-01-04 23:00:00,1.12847,1.1286100000000001,1.12813,1.12835,454,1,0
95,2022-01-04 23:30:00,1.12835,1.12874,1.1280999999999999,1.12862,456,5,0
96,2022-01-05 00:00:00,1.12852,1.12867,1.12808,1.12841,242,18,0
97,2022-01-05 00:30:00,1.12839,1.12848,1.12833,1.12838,236,26,0
98,2022-01-05 01:00:00,1.12838,1.12866,1.12831,1.12842,368,7,0
99,2022-01-05 01:30:00,1.12841,1.1285,1.12817,1.12829,281,7,0
100,2022-01-05 02:00:00,1.12829,1.12858,1.12824,1.12829,269,0,0
101,2022-01-05 02:30:00,1.12831,1.12835,1.12765,1.1277300000000001,507,0,0
102,2022-01-05 03:00:00,1.12774,1.12856,1.12774,1.12856,598,0,0
103,2022-01-05 03:30:00,1.12856,1.12886,1.12839,1.12857,629,0,0
104,2022-01-05 04:00:00,1.12857,1.12914,1.12848,1.12914,486,0,0
105,2022-01-05 04:30:00,1.12914,1.12943,1.1289500000000001,1.12919,557,0,0
106,2022-01-05 05:00:00,1.1292,1.12945,1.12912,1.12942,380,0,0
107,2022-01-05 05:30:00,1.12942,1.12968,1.12938,1.1295600000000001,275,0,0
108,2022-01-05 06:00:00,1.12957,1.12958,1.12894,1.12897,413,0,0
109,2022-01-05 06:30:00,1.12897,1.12916,1.12882,1.12887,525,1,0
110,2022-01-05 07:00:00,1.12889,1.129,1.1287,1.12888,323,0,0
111,2022-01-05 07:30:00,1.12888,1.12946,1.12886,1.12935,389,0,0
112,2022-01-05 08:00:00,1.12935,1.12965,1.12925,1.1296,452,0,0
113,2022-01-05 08:30:00,1.1296,1.13013,1.1295,1.12958,516,0,0
114,2022-01-05 09:00:00,1.12957,1.13026,1.12947,1.12989,1050,0,0
115,2022-01-05 09:30:00,1.12988,1.13022,1.12969,1.12986,1204,0,0
116,2022-01-05 10:00:00,1.12986,1.13099,1.12965,1.1308799999999999,1903,0,0
117,2022-01-05 10:30:00,1.1308799999999999,1.13111,1.1297,1.13032,1735,0,0
118,2022-01-05 11:00:00,1.13032,1.13071,1.13004,1.13012,1699,0,0
119,2022-01-05 11:30:00,1.13014,1.13083,1.12997,1.1306,1476,0,0
120,2022-01-05 12:00:00,1.13059,1.13137,1.13043,1.1313,1889,0,0
121,2022-01-05 12:30:00,1.1313,1.1314,1.13045,1.13082,1260,0,0
122,2022-01-05 13:00:00,1.13082,1.13186,1.13064,1.13174,1347,0,0
123,2022-01-05 13:30:00,1.13171,1.13236,1.13167,1.1319,1469,0,0
124,2022-01-05 14:00:00,1.1319,1.13253,1.1311499999999999,1.1316,1962,0,0
125,2022-01-05 14:30:00,1.1316,1.1317300000000001,1.13049,1.13079,1747,0,0
126,2022-01-05 15:00:00,1.1308,1.13186,1.13033,1.13083,3285,0,0
127,2022-01-05 15:30:00,1.13084,1.13286,1.13083,1.13236,2922,0,0
128,2022-01-05 16:00:00,1.1323699999999999,1.13364,1.13209,1.13352,2196,0,0
129,2022-01-05 16:30:00,1.13352,1.13389,1.13301,1.1336,2146,0,0
130,2022-01-05 17:00:00,1.1335899999999999,1.13441,1.1335600000000001,1.13368,2273,0,0
131,2022-01-05 17:30:00,1.13368,1.13392,1.13324,1.13373,2587,0,0
132,2022-01-05 18:00:00,1.13373,1.13395,1.13229,1.13266,1897,0,0
133,2022-01-05 18:30:00,1.13266,1.13346,1.13252,1.13342,1530,0,0
134,2022-01-05 19:00:00,1.13343,1.13466,1.13334,1.13421,1313,0,0
135,2022-01-05 19:30:00,1.13421,1.13459,1.13386,1.13412,1053,0,0
