,time,open,high,low,close,tick_volume,spread,real_volume
0,2024-10-01 00:00:00,1.11346,1.11346,1.11236,1.11298,27,5,0
1,2024-10-01 00:05:00,1.11298,1.11336,1.11292,1.11336,49,13,0
2,2024-10-01 00:10:00,1.11336,1.11336,1.11324,1.11331,50,15,0
3,2024-10-01 00:15:00,1.11331,1.11334,1.11317,1.11327,162,17,0
4,2024-10-01 00:20:00,1.11328,1.11343,1.11325,1.11332,119,11,0
5,2024-10-01 00:25:00,1.11333,1.1134,1.11327,1.11337,53,13,0
6,2024-10-01 00:30:00,1.11337,1.11341,1.11334,1.11338,31,11,0
7,2024-10-01 00:35:00,1.11337,1.11343,1.11335,1.11343,34,9,0
8,2024-10-01 00:40:00,1.11334,1.11344,1.11334,1.11341,49,9,0
9,2024-10-01 00:45:00,1.11342,1.1135,1.11339,1.11348,79,5,0
10,2024-10-01 00:50:00,1.1135,1.11352,1.11346,1.11346,28,4,0
11,2024-10-01 00:55:00,1.11353,1.1136,1.11346,1.11353,53,4,0
12,2024-10-01 01:00:00,1.11353,1.11363,1.11347,1.11359,64,0,0
13,2024-10-01 01:05:00,1.11359,1.11365,1.11353,1.11353,23,0,0
14,2024-10-01 01:10:00,1.11353,1.11375,1.11353,1.11375,73,0,0
15,2024-10-01 01:15:00,1.11375,1.11386,1.11374,1.11384,40,0,0
16,2024-10-01 01:20:00,1.11384,1.11391,1.11381,1.1139000000000001,44,0,0
17,2024-10-01 01:25:00,1.1139000000000001,1.114,1.1139000000000001,1.11394,41,0,0
18,2024-10-01 01:30:00,1.11394,1.11414,1.11392,1.11409,47,0,0
19,2024-10-01 01:35:00,1.11409,1.11413,1.11408,1.11411,35,0,0
20,2024-10-01 01:40:00,1.11411,1.11412,1.11401,1.11405,71,0,0
21,2024-10-01 01:45:00,1.11405,1.11419,1.11405,1.11417,59,0,0
22,2024-10-01 01:50:00,1.11417,1.11419,1.11413,1.11418,49,0,0
23,2024-10-01 01:55:00,1.11418,1.1142,1.11414,1.11416,49,0,0
24,2024-10-01 02:00:00,1.11416,1.11421,1.11408,1.11419,84,0,0
25,2024-10-01 02:05:00,1.11419,1.11427,1.11409,1.11411,117,0,0
26,2024-10-01 02:10:00,1.11411,1.11417,1.11409,1.11412,70,0,0
27,2024-10-01 02:15:00,1.11412,1.11427,1.11412,1.11426,91,0,0
28,2024-10-01 02:20:00,1.11426,1.11426,1.11402,1.11407,86,0,0
