,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-01-02,1.20538,1.2069,1.19997,1.20014,53082,9,0
1,2015-01-05,1.19454,1.19757,1.18642,1.19317,95141,10,0
2,2015-01-06,1.19318,1.19682,1.18836,1.18887,91697,10,0
3,2015-01-07,1.18889,1.18956,1.18014,1.18386,98091,9,0
4,2015-01-08,1.18386,1.1846700000000001,1.17536,1.17899,82605,9,0
5,2015-01-09,1.17901,1.1844999999999999,1.1762299999999999,1.18402,91031,10,0
6,2015-01-12,1.18481,1.18702,1.17856,1.18325,80991,9,0
7,2015-01-13,1.18324,1.18589,1.17529,1.17718,93072,9,0
8,2015-01-14,1.17712,1.18451,1.17267,1.17881,101182,9,0
9,2015-01-15,1.17882,1.17921,1.15673,1.1629800000000001,123477,9,0
10,2015-01-16,1.16305,1.16479,1.14594,1.1565,121343,9,0
11,2015-01-19,1.15524,1.16381,1.15512,1.1606,49997,7,0
12,2015-01-20,1.1605,1.16138,1.15397,1.15479,36580,6,0
13,2015-01-21,1.1548,1.1679,1.15406,1.16087,45779,6,0
14,2015-01-22,1.16088,1.16485,1.13156,1.13642,56260,7,0
15,2015-01-23,1.1363,1.13731,1.11145,1.12032,62443,8,0
16,2015-01-26,1.11492,1.12945,1.1097,1.1237300000000001,51017,8,0
17,2015-01-27,1.12377,1.14221,1.1223,1.13803,65402,1,26218873000
18,2015-01-28,1.13803,1.13828,1.12757,1.12865,71647,1,0
19,2015-01-29,1.12867,1.1367,1.12612,1.13185,45808,2,14000000
20,2015-01-30,1.13154,1.13628,1.1277,1.1284399999999999,44897,9,0
21,2015-02-02,1.1311499999999999,1.13616,1.12918,1.13413,62989,1,0
22,2015-02-03,1.13399,1.15332,1.13122,1.14781,76916,1,0
23,2015-02-04,1.14779,1.14842,1.13155,1.13433,68437,2,0
24,2015-02-05,1.13428,1.14983,1.13035,1.14763,75428,5,0
25,2015-02-06,1.1476,1.1485,1.1309,1.13102,66082,5,0
26,2015-02-09,1.12952,1.13586,1.12698,1.1323400000000001,65433,5,0
27,2015-02-10,1.13233,1.13448,1.12726,1.13197,68796,5,0
28,2015-02-11,1.1320000000000001,1.13466,1.12794,1.13351,64393,5,0
29,2015-02-12,1.13348,1.14224,1.13016,1.14022,71197,5,0
30,2015-02-13,1.1402,1.14421,1.13792,1.13919,60539,5,0
31,2015-02-16,1.13994,1.14285,1.13191,1.13528,51186,5,0
32,2015-02-17,1.13533,1.14478,1.13217,1.141,69407,5,0
33,2015-02-18,1.14097,1.14152,1.13335,1.13962,64941,5,0
34,2015-02-19,1.1396,1.14496,1.1355,1.13674,59622,5,0
35,2015-02-20,1.13675,1.14231,1.12788,1.13785,69731,1,0
36,2015-02-23,1.1394,1.13952,1.12947,1.1334,55201,5,0
37,2015-02-24,1.13335,1.13577,1.129,1.13397,59038,5,0
38,2015-02-25,1.13395,1.1388,1.13353,1.13606,56284,5,0
39,2015-02-26,1.13593,1.13791,1.11834,1.11975,61722,5,0
40,2015-02-27,1.11975,1.12446,1.11758,1.11957,64231,5,0
41,2015-03-02,1.11805,1.12402,1.11597,1.11824,54008,5,0
42,2015-03-03,1.11835,1.12171,1.11545,1.11752,56803,6,0
43,2015-03-04,1.11742,1.11852,1.10615,1.10767,58992,5,0
44,2015-03-05,1.10772,1.11118,1.09879,1.10291,65263,7,0
45,2015-03-06,1.10284,1.10322,1.0838700000000001,1.08433,65790,5,0
46,2015-03-09,1.08296,1.09061,1.08227,1.08518,59301,2,0
47,2015-03-10,1.08509,1.08547,1.06676,1.06785,80767,5,0
48,2015-03-11,1.06791,1.07163,1.05108,1.05444,88719,7,0
49,2015-03-12,1.05457,1.06833,1.04943,1.06241,89899,5,0
50,2015-03-13,1.06238,1.06343,1.04619,1.0491,83236,5,0
51,2015-03-16,1.04855,1.06193,1.04791,1.05669,83506,1,0
52,2015-03-17,1.05664,1.06505,1.0551,1.05972,72379,1,0
53,2015-03-18,1.05961,1.10415,1.05797,1.08284,87748,1,0
54,2015-03-19,1.08291,1.09191,1.06125,1.06561,108495,1,0
55,2015-03-20,1.06562,1.08813,1.0655000000000001,1.08189,82998,5,0
56,2015-03-23,1.08667,1.09707,1.07667,1.0944099999999999,91164,5,0
57,2015-03-24,1.09457,1.10286,1.08897,1.09176,80441,9,0
58,2015-03-25,1.09184,1.10139,1.09002,1.09708,69803,9,0
59,2015-03-26,1.09711,1.10515,1.08555,1.0874,90096,5,0
60,2015-03-27,1.08743,1.09473,1.08007,1.08841,83003,5,0
61,2015-03-30,1.08841,1.08913,1.08095,1.0832,75521,5,0
62,2015-03-31,1.08317,1.08447,1.07123,1.07308,70009,11,0
