time,open,high,low,close,tick_volume,spread,real_volume
2024-08-22 00:00:00,1.11479,1.11497,1.11423,1.11447,26,15,0
2024-08-22 00:05:00,1.11459,1.11506,1.11441,1.11506,62,37,0
2024-08-22 00:10:00,1.11506,1.11506,1.11463,1.11484,68,20,0
2024-08-22 00:15:00,1.11484,1.11531,1.11484,1.1152,41,3,0
2024-08-22 00:20:00,1.11528,1.11538,1.11484,1.11531,53,9,0
2024-08-22 00:25:00,1.11531,1.11531,1.11517,1.11529,14,10,0
2024-08-22 00:30:00,1.11529,1.11529,1.11505,1.11515,9,4,0
2024-08-22 00:35:00,1.11515,1.11534,1.11479,1.11486,51,3,0
2024-08-22 00:40:00,1.11486,1.11496,1.1147,1.11481,52,9,0
2024-08-22 00:45:00,1.11479,1.11492,1.11479,1.11485,24,11,0
2024-08-22 00:50:00,1.11485,1.11492,1.11483,1.11491,23,9,0
2024-08-22 00:55:00,1.11492,1.11492,1.11467,1.11484,31,12,0
2024-08-22 01:00:00,1.1148,1.11529,1.1148,1.11527,53,3,0
2024-08-22 01:05:00,1.11528,1.11531,1.1151200000000001,1.11528,42,3,0
2024-08-22 01:10:00,1.11528,1.11533,1.11528,1.11531,36,3,0
2024-08-22 01:15:00,1.11531,1.11539,1.11528,1.11536,53,4,0
2024-08-22 01:20:00,1.11536,1.11536,1.1153,1.11531,34,4,0
2024-08-22 01:25:00,1.11531,1.11537,1.11527,1.11536,30,4,0
2024-08-22 01:30:00,1.11537,1.11538,1.1153,1.1153,27,4,0
2024-08-22 01:35:00,1.11529,1.11532,1.11522,1.11524,33,4,0
2024-08-22 01:40:00,1.11524,1.11527,1.11522,1.11527,25,4,0
2024-08-22 01:45:00,1.11527,1.11534,1.11525,1.11534,20,4,0
2024-08-22 01:50:00,1.11534,1.11551,1.11534,1.11549,38,4,0
2024-08-22 01:55:00,1.11551,1.11561,1.11548,1.11561,34,4,0
2024-08-22 02:00:00,1.11561,1.11573,1.11558,1.11571,61,3,0
2024-08-22 02:05:00,1.11572,1.11572,1.11564,1.11566,28,4,0
2024-08-22 02:10:00,1.11566,1.11572,1.1156,1.11561,51,4,0
2024-08-22 02:15:00,1.11561,1.11577,1.11558,1.11576,38,4,0
2024-08-22 02:20:00,1.11576,1.11577,1.11564,1.11567,58,4,0
2024-08-22 02:25:00,1.11567,1.11569,1.11559,1.1156,36,4,0
2024-08-22 02:30:00,1.11561,1.11571,1.11559,1.11561,60,4,0
2024-08-22 02:35:00,1.11561,1.11561,1.11547,1.11547,41,4,0
2024-08-22 02:40:00,1.11546,1.11548,1.11532,1.11535,53,4,0
2024-08-22 02:45:00,1.11535,1.1154,1.1153,1.11535,43,4,0
2024-08-22 02:50:00,1.11535,1.1154,1.1153,1.1154,43,4,0
2024-08-22 02:55:00,1.1154,1.11551,1.11535,1.1155,45,4,0
2024-08-22 03:00:00,1.11551,1.11566,1.11543,1.11565,85,3,0
2024-08-22 03:05:00,1.11566,1.11566,1.11528,1.11535,74,4,0
2024-08-22 03:10:00,1.11535,1.11536,1.11515,1.11519,69,3,0
2024-08-22 03:15:00,1.11519,1.11533,1.11514,1.11532,81,4,0
2024-08-22 03:20:00,1.11532,1.11545,1.1152,1.11521,82,4,0
2024-08-22 03:25:00,1.11521,1.11526,1.11516,1.11518,78,4,0
2024-08-22 03:30:00,1.11518,1.11518,1.11494,1.11501,74,4,0
2024-08-22 03:35:00,1.11501,1.11506,1.11493,1.11501,92,4,0
2024-08-22 03:40:00,1.11501,1.11508,1.11491,1.11496,90,4,0
2024-08-22 03:45:00,1.115,1.11505,1.11491,1.1149499999999999,85,4,0
