time,open,high,low,close,tick_volume,spread,real_volume
2024-07-22 00:00:00,1.0888,1.0888,1.0888,1.0888,1,20,0
2024-07-22 00:01:00,1.08838,1.08838,1.0883099999999999,1.0883099999999999,2,33,0
2024-07-22 00:02:00,1.08834,1.08834,1.0883099999999999,1.08834,5,33,0
2024-07-22 00:03:00,1.08834,1.08834,1.08814,1.08814,4,36,0
2024-07-22 00:04:00,1.08829,1.0883,1.08796,1.08807,6,39,0
2024-07-22 00:05:00,1.08801,1.08809,1.08801,1.08809,3,51,0
2024-07-22 00:06:00,1.08809,1.0884,1.08809,1.0884,4,28,0
2024-07-22 00:07:00,1.08841,1.08841,1.08825,1.08825,2,27,0
2024-07-22 00:08:00,1.08812,1.08838,1.08812,1.08812,3,30,0
2024-07-22 00:09:00,1.08812,1.08817,1.08812,1.08812,3,70,0
2024-07-22 00:10:00,1.08812,1.08821,1.08812,1.08821,3,54,0
2024-07-22 00:11:00,1.08839,1.0884,1.08821,1.08821,6,23,0
2024-07-22 00:12:00,1.08823,1.08824,1.08822,1.08824,4,53,0
2024-07-22 00:13:00,1.08824,1.08825,1.08822,1.08822,3,53,0
2024-07-22 00:14:00,1.08822,1.08827,1.08822,1.08825,6,46,0
2024-07-22 00:15:00,1.08839,1.08839,1.08837,1.08838,6,21,0
2024-07-22 00:16:00,1.08837,1.08837,1.0883099999999999,1.0883099999999999,4,21,0
2024-07-22 00:17:00,1.08834,1.08839,1.08834,1.08836,9,21,0
2024-07-22 00:18:00,1.08834,1.08839,1.08833,1.08837,5,21,0
2024-07-22 00:19:00,1.08839,1.08839,1.0883099999999999,1.08839,8,21,0
2024-07-22 00:20:00,1.08839,1.08839,1.08837,1.08837,2,21,0
2024-07-22 00:21:00,1.08835,1.08839,1.08835,1.08839,5,21,0
2024-07-22 00:22:00,1.08827,1.08839,1.08827,1.08839,2,21,0
2024-07-22 00:23:00,1.08839,1.08839,1.08839,1.08839,1,21,0
2024-07-22 00:24:00,1.08839,1.08839,1.08837,1.08837,4,21,0
2024-07-22 00:25:00,1.08836,1.08839,1.0883099999999999,1.08836,6,21,0
2024-07-22 00:26:00,1.08839,1.08839,1.08834,1.08839,5,21,0
2024-07-22 00:27:00,1.08839,1.08839,1.08839,1.08839,1,21,0
2024-07-22 00:28:00,1.08839,1.08839,1.08839,1.08839,1,21,0
2024-07-22 00:29:00,1.08839,1.08839,1.08828,1.08837,5,21,0
2024-07-22 00:30:00,1.08837,1.08837,1.08827,1.0883099999999999,10,16,0
2024-07-22 00:31:00,1.08828,1.08834,1.08828,1.08833,12,15,0
2024-07-22 00:32:00,1.08833,1.0885,1.0883,1.08832,9,0,0
2024-07-22 00:33:00,1.08853,1.08857,1.0884800000000001,1.0885,15,1,0
2024-07-22 00:34:00,1.08853,1.08854,1.08849,1.08853,10,0,0
