time,open,high,low,close,tick_volume,spread,real_volume
2024-09-05 00:00:00,1.10808,1.10822,1.10777,1.10805,28,17,0
2024-09-05 00:05:00,1.10812,1.10826,1.10811,1.10822,36,13,0
2024-09-05 00:10:00,1.10823,1.10826,1.10818,1.10823,30,13,0
2024-09-05 00:15:00,1.10824,1.10828,1.10824,1.10828,7,8,0
2024-09-05 00:20:00,1.10808,1.10828,1.10807,1.10827,9,9,0
2024-09-05 00:25:00,1.10827,1.10828,1.10808,1.10828,8,10,0
2024-09-05 00:30:00,1.10828,1.10835,1.10823,1.10835,16,9,0
2024-09-05 00:35:00,1.10835,1.10835,1.10827,1.1083,9,7,0
2024-09-05 00:40:00,1.1083,1.1083,1.1083,1.1083,5,8,0
2024-09-05 00:45:00,1.1083,1.1083,1.1081,1.10824,14,4,0
2024-09-05 00:50:00,1.10824,1.10829,1.10824,1.10829,10,11,0
2024-09-05 00:55:00,1.10829,1.1083,1.10829,1.1083,6,9,0
2024-09-05 01:00:00,1.1083,1.10844,1.10827,1.10834,44,3,0
2024-09-05 01:05:00,1.10834,1.1086,1.10833,1.10837,53,3,0
2024-09-05 01:10:00,1.10837,1.1084,1.10835,1.10836,18,3,0
2024-09-05 01:15:00,1.10836,1.10846,1.10836,1.10845,34,4,0
2024-09-05 01:20:00,1.10845,1.10846,1.10839,1.10842,26,4,0
2024-09-05 01:25:00,1.10842,1.10842,1.10832,1.10834,28,4,0
2024-09-05 01:30:00,1.10835,1.1084100000000001,1.10834,1.10836,37,4,0
2024-09-05 01:35:00,1.10836,1.10842,1.10832,1.10835,41,4,0
2024-09-05 01:40:00,1.10834,1.10838,1.10832,1.10834,31,4,0
2024-09-05 01:45:00,1.10834,1.10837,1.10831,1.10831,34,5,0
2024-09-05 01:50:00,1.10831,1.10843,1.10826,1.10842,31,4,0
2024-09-05 01:55:00,1.10842,1.10849,1.1084100000000001,1.10849,29,5,0
2024-09-05 02:00:00,1.1085,1.10853,1.10836,1.10837,54,3,0
2024-09-05 02:05:00,1.10837,1.10837,1.1083,1.1083,35,4,0
2024-09-05 02:10:00,1.1083,1.1083,1.10818,1.10818,23,4,0
2024-09-05 02:15:00,1.10819,1.10819,1.10808,1.10811,44,4,0
2024-09-05 02:20:00,1.10811,1.10811,1.10802,1.10803,37,4,0
2024-09-05 02:25:00,1.10803,1.10817,1.10801,1.10815,54,4,0
2024-09-05 02:30:00,1.10813,1.10836,1.10813,1.10834,115,4,0
2024-09-05 02:35:00,1.10833,1.10846,1.10826,1.10835,89,4,0
2024-09-05 02:40:00,1.10836,1.10836,1.10821,1.10822,118,4,0
2024-09-05 02:45:00,1.10822,1.10825,1.10817,1.10817,58,4,0
2024-09-05 02:50:00,1.10817,1.10821,1.10809,1.10811,55,4,0
