time,open,high,low,close,tick_volume,spread,real_volume
2024-07-15 00:00:00,1.0886,1.0886,1.08842,1.08842,3,20,0
2024-07-15 00:01:00,1.08842,1.08845,1.08841,1.08841,3,44,0
2024-07-15 00:02:00,1.08841,1.08841,1.08841,1.08841,1,66,0
2024-07-15 00:03:00,1.0884,1.08853,1.08818,1.08827,6,32,0
2024-07-15 00:04:00,1.08827,1.0883,1.08818,1.08821,10,54,0
2024-07-15 00:05:00,1.08823,1.08825,1.0882,1.08823,12,54,0
2024-07-15 00:06:00,1.08823,1.08823,1.08823,1.08823,1,54,0
2024-07-15 00:07:00,1.0885,1.0885,1.08821,1.0883,12,20,0
2024-07-15 00:08:00,1.08833,1.08839,1.08833,1.08839,3,77,0
2024-07-15 00:09:00,1.08837,1.08839,1.08837,1.08839,4,77,0
2024-07-15 00:10:00,1.08837,1.08852,1.08833,1.0885,8,63,0
2024-07-15 00:11:00,1.0885,1.08852,1.08839,1.08845,14,65,0
2024-07-15 00:12:00,1.08845,1.08857,1.0884,1.08857,12,70,0
2024-07-15 00:13:00,1.08857,1.08869,1.08857,1.08869,7,63,0
2024-07-15 00:14:00,1.08869,1.08916,1.08869,1.08915,22,35,0
2024-07-15 00:15:00,1.08915,1.08922,1.08902,1.08915,19,15,0
2024-07-15 00:16:00,1.08915,1.08924,1.08912,1.08914,6,21,0
2024-07-15 00:17:00,1.08914,1.08914,1.08914,1.08914,1,20,0
2024-07-15 00:18:00,1.08914,1.08927,1.08914,1.08918,12,18,0
2024-07-15 00:19:00,1.08918,1.08936,1.08918,1.08936,7,5,0
2024-07-15 00:20:00,1.08937,1.08945,1.08926,1.08929,14,4,0
2024-07-15 00:21:00,1.08929,1.08931,1.08929,1.08931,2,15,0
2024-07-15 00:22:00,1.08927,1.08937,1.08927,1.08927,3,18,0
2024-07-15 00:23:00,1.08927,1.08927,1.08927,1.08927,1,19,0
2024-07-15 00:24:00,1.08927,1.08927,1.08913,1.08913,6,5,0
2024-07-15 00:25:00,1.08913,1.08913,1.08913,1.08913,1,16,0
2024-07-15 00:26:00,1.08913,1.08921,1.08911,1.08911,8,11,0
2024-07-15 00:27:00,1.08889,1.08912,1.08889,1.08912,2,21,0
2024-07-15 00:28:00,1.08912,1.08913,1.08912,1.08913,2,16,0
2024-07-15 00:29:00,1.08913,1.08913,1.08913,1.08913,1,21,0
2024-07-15 00:30:00,1.08913,1.08934,1.08913,1.08934,22,14,0
2024-07-15 00:31:00,1.08934,1.08944,1.08927,1.08942,10,20,0
2024-07-15 00:32:00,1.08939,1.08945,1.08919,1.08919,17,1,0
2024-07-15 00:33:00,1.08929,1.08929,1.08918,1.08918,6,2,0
2024-07-15 00:34:00,1.08918,1.08923,1.08918,1.08922,10,9,0
2024-07-15 00:35:00,1.08922,1.08931,1.08921,1.08922,5,2,0
2024-07-15 00:36:00,1.08922,1.08924,1.0892,1.08924,10,8,0
2024-07-15 00:37:00,1.08923,1.08923,1.08918,1.08918,5,8,0
2024-07-15 00:38:00,1.08917,1.08917,1.08905,1.0891,24,12,0
2024-07-15 00:39:00,1.0890900000000001,1.08918,1.08904,1.08907,16,10,0
2024-07-15 00:40:00,1.08905,1.08915,1.08904,1.08907,9,14,0
2024-07-15 00:41:00,1.08907,1.08917,1.08905,1.08905,17,9,0
2024-07-15 00:42:00,1.08915,1.08919,1.08905,1.08907,10,8,0
2024-07-15 00:43:00,1.08907,1.08921,1.08906,1.08921,16,11,0
2024-07-15 00:44:00,1.08921,1.08921,1.08904,1.08905,8,2,0
2024-07-15 00:45:00,1.08906,1.08912,1.08903,1.08912,15,16,0
2024-07-15 00:46:00,1.08913,1.08922,1.08912,1.08914,6,15,0
2024-07-15 00:47:00,1.08917,1.08917,1.08914,1.08915,6,14,0
2024-07-15 00:48:00,1.08914,1.08923,1.0889199999999999,1.08914,5,14,0
2024-07-15 00:49:00,1.08916,1.08917,1.08904,1.08908,28,14,0
2024-07-15 00:50:00,1.08908,1.0893,1.08908,1.08914,18,12,0
2024-07-15 00:51:00,1.08914,1.08918,1.08908,1.0891,7,18,0
2024-07-15 00:52:00,1.0891,1.0892,1.08907,1.08912,12,13,0
2024-07-15 00:53:00,1.0891,1.08922,1.0891,1.08913,6,15,0
2024-07-15 00:54:00,1.08913,1.08936,1.08913,1.08936,7,20,0
2024-07-15 00:55:00,1.08936,1.08944,1.08935,1.08941,10,20,0
2024-07-15 00:56:00,1.08944,1.08955,1.0894,1.0894,9,19,0
2024-07-15 00:57:00,1.08944,1.08946,1.08931,1.08931,14,15,0
2024-07-15 00:58:00,1.08931,1.08939,1.08916,1.08916,12,8,0
2024-07-15 00:59:00,1.08919,1.08919,1.08898,1.08898,15,12,0
2024-07-15 01:00:00,1.08899,1.08927,1.08889,1.08907,74,0,0
2024-07-15 01:01:00,1.08895,1.08917,1.08894,1.08906,41,6,0
2024-07-15 01:02:00,1.08912,1.08914,1.089,1.089,22,1,0
2024-07-15 01:03:00,1.089,1.089,1.08882,1.08887,35,0,0
2024-07-15 01:04:00,1.08887,1.08887,1.08882,1.08882,11,7,0
2024-07-15 01:05:00,1.08882,1.08887,1.08878,1.0888,26,0,0
2024-07-15 01:06:00,1.0888,1.0888,1.08876,1.08876,10,1,0
2024-07-15 01:07:00,1.08876,1.08876,1.08861,1.08861,10,0,0
2024-07-15 01:08:00,1.08861,1.0888,1.08861,1.08873,21,6,0
2024-07-15 01:09:00,1.08874,1.08874,1.08867,1.08868,11,6,0
2024-07-15 01:10:00,1.08868,1.08886,1.08861,1.08861,23,1,0
2024-07-15 01:11:00,1.08861,1.08872,1.08861,1.08869,13,6,0
2024-07-15 01:12:00,1.08869,1.08872,1.08865,1.08869,6,6,0
2024-07-15 01:13:00,1.08869,1.08882,1.08869,1.08875,7,6,0
2024-07-15 01:14:00,1.08875,1.08883,1.08866,1.08868,25,4,0
2024-07-15 01:15:00,1.08875,1.08879,1.08861,1.08861,23,1,0
2024-07-15 01:16:00,1.08861,1.08864,1.08854,1.08854,7,1,0
2024-07-15 01:17:00,1.08856,1.08861,1.0885,1.08851,19,1,0
2024-07-15 01:18:00,1.0885,1.08859,1.08847,1.08855,22,1,0
2024-07-15 01:19:00,1.08855,1.08864,1.08855,1.08861,33,1,0
2024-07-15 01:20:00,1.08861,1.08864,1.08859,1.0886,44,1,0
2024-07-15 01:21:00,1.0886,1.08878,1.08859,1.08877,15,1,0
2024-07-15 01:22:00,1.08878,1.08878,1.08873,1.08875,29,1,0
2024-07-15 01:23:00,1.08874,1.08876,1.08873,1.08873,20,1,0
2024-07-15 01:24:00,1.08872,1.08877,1.08872,1.08873,18,3,0
2024-07-15 01:25:00,1.08874,1.08878,1.08874,1.08877,19,3,0
2024-07-15 01:26:00,1.08877,1.08881,1.08876,1.08881,9,3,0
2024-07-15 01:27:00,1.08881,1.08886,1.08873,1.08877,21,1,0
2024-07-15 01:28:00,1.08877,1.0888,1.08875,1.08878,17,2,0
2024-07-15 01:29:00,1.08878,1.08879,1.08867,1.08867,6,2,0
2024-07-15 01:30:00,1.08867,1.08873,1.08863,1.08864,20,0,0
2024-07-15 01:31:00,1.08867,1.08867,1.08861,1.08866,13,3,0
2024-07-15 01:32:00,1.08866,1.08875,1.08866,1.0887,14,1,0
2024-07-15 01:33:00,1.08871,1.08877,1.08871,1.08873,20,1,0
2024-07-15 01:34:00,1.08872,1.08872,1.08871,1.08871,10,3,0
2024-07-15 01:35:00,1.08872,1.08875,1.08866,1.08866,11,3,0
2024-07-15 01:36:00,1.08867,1.08868,1.08857,1.08858,17,2,0
2024-07-15 01:37:00,1.08857,1.08858,1.08847,1.08849,10,2,0
2024-07-15 01:38:00,1.08849,1.08853,1.0884800000000001,1.0884800000000001,15,2,0
2024-07-15 01:39:00,1.0884800000000001,1.0885,1.08845,1.0884800000000001,9,2,0
2024-07-15 01:40:00,1.0884800000000001,1.08853,1.0884800000000001,1.08853,8,2,0
2024-07-15 01:41:00,1.08853,1.08859,1.08852,1.08857,8,1,0
2024-07-15 01:42:00,1.08857,1.08864,1.08857,1.08864,17,2,0
2024-07-15 01:43:00,1.08864,1.08869,1.08864,1.08865,10,2,0
2024-07-15 01:44:00,1.08865,1.08865,1.08859,1.08865,6,2,0
2024-07-15 01:45:00,1.08865,1.08865,1.08864,1.08865,7,2,0
2024-07-15 01:46:00,1.08865,1.08866,1.08864,1.08864,8,2,0
2024-07-15 01:47:00,1.08864,1.08868,1.08864,1.08868,12,2,0
2024-07-15 01:48:00,1.08867,1.0887,1.08866,1.0887,23,1,0
2024-07-15 01:49:00,1.0887,1.08875,1.08866,1.08874,13,1,0
2024-07-15 01:50:00,1.08874,1.08876,1.08873,1.08874,8,1,0
2024-07-15 01:51:00,1.08874,1.08875,1.08873,1.08875,14,1,0
2024-07-15 01:52:00,1.08876,1.08876,1.08871,1.08874,15,1,0
2024-07-15 01:53:00,1.08875,1.08875,1.08873,1.08875,6,1,0
