time,open,high,low,close,tick_volume,spread,real_volume
2024-07-01 00:00:00,1.0745,1.0745,1.0741,1.0741,4,20,0
2024-07-01 00:01:00,1.0742,1.0742,1.074,1.0742,5,20,0
2024-07-01 00:02:00,1.0741,1.0743,1.0741,1.0743,2,20,0
2024-07-01 00:03:00,1.0744,1.0744,1.0739,1.07407,34,20,0
2024-07-01 00:04:00,1.07404,1.07447,1.07369,1.07408,70,28,0
2024-07-01 00:05:00,1.07409,1.07423,1.07388,1.07423,17,47,0
2024-07-01 00:06:00,1.0742,1.0742,1.07388,1.07417,22,33,0
2024-07-01 00:07:00,1.07417,1.07428,1.07417,1.07428,9,54,0
2024-07-01 00:08:00,1.07428,1.07429,1.07418,1.0742099999999999,4,55,0
2024-07-01 00:09:00,1.07429,1.07443,1.0742,1.07436,4,29,0
2024-07-01 00:10:00,1.07436,1.07439,1.07425,1.07437,9,35,0
2024-07-01 00:11:00,1.07437,1.07437,1.07417,1.07435,12,37,0
2024-07-01 00:12:00,1.07435,1.07436,1.0742,1.07423,14,20,0
2024-07-01 00:13:00,1.07424,1.07425,1.07424,1.07425,4,37,0
2024-07-01 00:14:00,1.07425,1.07431,1.07425,1.07431,2,21,0
2024-07-01 00:15:00,1.07426,1.07428,1.0742,1.07428,21,21,0
2024-07-01 00:16:00,1.07436,1.07436,1.0742099999999999,1.07427,17,17,0
2024-07-01 00:17:00,1.07427,1.07427,1.07412,1.07427,9,17,0
2024-07-01 00:18:00,1.07427,1.07427,1.0742,1.0742,4,9,0
2024-07-01 00:19:00,1.0742,1.0742,1.0742,1.0742,1,4,0
2024-07-01 00:20:00,1.0742,1.0742,1.07395,1.07398,15,2,0
2024-07-01 00:21:00,1.07398,1.07398,1.07396,1.07398,5,19,0
2024-07-01 00:22:00,1.07398,1.07398,1.07396,1.07398,3,19,0
2024-07-01 00:23:00,1.07398,1.07398,1.07396,1.07398,3,19,0
2024-07-01 00:24:00,1.07385,1.07429,1.07385,1.07429,11,5,0
2024-07-01 00:25:00,1.07429,1.07429,1.07426,1.07429,5,18,0
2024-07-01 00:26:00,1.07429,1.07431,1.07426,1.07431,7,18,0
2024-07-01 00:27:00,1.0742,1.07441,1.0742,1.07441,8,1,0
2024-07-01 00:28:00,1.07441,1.07441,1.0742,1.0742,2,1,0
2024-07-01 00:29:00,1.0742,1.0742,1.0742,1.0742,1,7,0
2024-07-01 00:30:00,1.0742,1.0742,1.07375,1.0737700000000001,6,2,0
2024-07-01 00:31:00,1.07378,1.07378,1.07356,1.07372,22,20,0
2024-07-01 00:32:00,1.07372,1.07397,1.07372,1.07397,6,18,0
2024-07-01 00:33:00,1.07397,1.07398,1.07395,1.07398,3,21,0
2024-07-01 00:34:00,1.07398,1.07398,1.07397,1.07397,2,21,0
2024-07-01 00:35:00,1.07397,1.07397,1.0739,1.07395,6,16,0
2024-07-01 00:36:00,1.07395,1.07395,1.07391,1.07395,6,16,0
2024-07-01 00:37:00,1.07395,1.07396,1.07381,1.07381,11,18,0
2024-07-01 00:38:00,1.07381,1.07387,1.0738,1.07386,5,15,0
2024-07-01 00:39:00,1.07386,1.07394,1.07354,1.07394,5,2,0
2024-07-01 00:40:00,1.07394,1.07394,1.07394,1.07394,1,17,0
2024-07-01 00:41:00,1.07397,1.07409,1.07394,1.07397,9,1,0
2024-07-01 00:42:00,1.07397,1.07402,1.07394,1.07394,10,9,0
2024-07-01 00:43:00,1.07397,1.07397,1.07394,1.07394,4,10,0
2024-07-01 00:44:00,1.07394,1.07394,1.07394,1.07394,1,1,0
2024-07-01 00:45:00,1.07394,1.07394,1.07394,1.07394,1,7,0
2024-07-01 00:46:00,1.07394,1.07394,1.07367,1.07368,12,1,0
2024-07-01 00:47:00,1.07368,1.07389,1.07368,1.07389,7,11,0
2024-07-01 00:48:00,1.07389,1.07389,1.07365,1.07365,11,10,0
2024-07-01 00:49:00,1.07366,1.07373,1.07361,1.07373,7,12,0
2024-07-01 00:50:00,1.07367,1.07379,1.07367,1.07379,10,11,0
2024-07-01 00:51:00,1.07379,1.07388,1.07373,1.07388,12,8,0
2024-07-01 00:52:00,1.07388,1.07388,1.07383,1.07388,3,16,0
2024-07-01 00:53:00,1.07397,1.07398,1.07391,1.07398,5,14,0
2024-07-01 00:54:00,1.07383,1.07399,1.07378,1.07399,11,13,0
2024-07-01 00:55:00,1.07399,1.07399,1.07393,1.07399,4,15,0
2024-07-01 00:56:00,1.07399,1.07399,1.07392,1.07399,5,13,0
2024-07-01 00:57:00,1.07399,1.07399,1.07379,1.07399,6,14,0
2024-07-01 00:58:00,1.07399,1.07399,1.0737,1.07389,15,5,0
2024-07-01 00:59:00,1.07389,1.07398,1.07378,1.07383,15,11,0
2024-07-01 01:00:00,1.07358,1.07412,1.07325,1.07372,76,1,0
2024-07-01 01:01:00,1.07363,1.07373,1.07348,1.07364,38,7,0
2024-07-01 01:02:00,1.07364,1.07372,1.07342,1.07348,21,1,0
2024-07-01 01:03:00,1.07348,1.07359,1.07329,1.07346,25,1,0
2024-07-01 01:04:00,1.07352,1.07366,1.07345,1.07357,28,7,0
2024-07-01 01:05:00,1.07346,1.0735,1.07328,1.07331,21,6,0
2024-07-01 01:06:00,1.07332,1.07346,1.07332,1.07344,12,7,0
2024-07-01 01:07:00,1.07344,1.07353,1.07339,1.0734,9,7,0
2024-07-01 01:08:00,1.0734,1.07341,1.07337,1.07339,5,14,0
2024-07-01 01:09:00,1.07339,1.0735,1.07339,1.07345,10,7,0
2024-07-01 01:10:00,1.07345,1.07345,1.07319,1.07325,22,4,0
2024-07-01 01:11:00,1.07321,1.07326,1.0732,1.07322,9,7,0
2024-07-01 01:12:00,1.07322,1.07338,1.07321,1.07335,14,5,0
2024-07-01 01:13:00,1.07334,1.07343,1.07334,1.07343,6,7,0
2024-07-01 01:14:00,1.07341,1.07349,1.07341,1.07349,10,7,0
2024-07-01 01:15:00,1.07351,1.07359,1.07351,1.07354,12,1,0
2024-07-01 01:16:00,1.07354,1.07357,1.07342,1.07355,29,1,0
2024-07-01 01:17:00,1.07355,1.07355,1.07344,1.07345,22,1,0
2024-07-01 01:18:00,1.07346,1.07346,1.07334,1.07335,21,1,0
2024-07-01 01:19:00,1.07335,1.07352,1.07329,1.07346,19,1,0
2024-07-01 01:20:00,1.0735,1.07352,1.07347,1.07352,21,1,0
2024-07-01 01:21:00,1.07352,1.07355,1.07348,1.07348,11,1,0
2024-07-01 01:22:00,1.07352,1.07352,1.07348,1.0735,13,1,0
2024-07-01 01:23:00,1.07351,1.07352,1.07351,1.07351,5,1,0
2024-07-01 01:24:00,1.07351,1.07355,1.07348,1.07352,25,1,0
2024-07-01 01:25:00,1.07352,1.07355,1.07348,1.07355,7,1,0
2024-07-01 01:26:00,1.07356,1.07381,1.07355,1.0738,22,1,0
2024-07-01 01:27:00,1.07381,1.07382,1.07376,1.0738,8,1,0
2024-07-01 01:28:00,1.0738,1.07387,1.07376,1.07385,17,1,0
2024-07-01 01:29:00,1.07386,1.0739,1.07378,1.07382,18,1,0
2024-07-01 01:30:00,1.07382,1.07384,1.07356,1.07357,26,1,0
2024-07-01 01:31:00,1.07359,1.07368,1.07358,1.07365,22,1,0
2024-07-01 01:32:00,1.07365,1.07366,1.07362,1.07362,9,1,0
2024-07-01 01:33:00,1.07363,1.07365,1.07355,1.07356,16,1,0
2024-07-01 01:34:00,1.07357,1.07358,1.07352,1.07355,14,1,0
2024-07-01 01:35:00,1.07355,1.07357,1.07352,1.07355,18,1,0
2024-07-01 01:36:00,1.07356,1.07357,1.0735,1.07353,26,2,0
2024-07-01 01:37:00,1.07352,1.07353,1.07348,1.07352,22,1,0
2024-07-01 01:38:00,1.07353,1.07355,1.0735,1.07355,18,1,0
2024-07-01 01:39:00,1.07356,1.07356,1.07351,1.07353,13,1,0
2024-07-01 01:40:00,1.07353,1.07354,1.0735,1.0735,13,1,0
2024-07-01 01:41:00,1.07351,1.07355,1.07348,1.07352,11,1,0
2024-07-01 01:42:00,1.07353,1.07357,1.07351,1.07355,14,1,0
2024-07-01 01:43:00,1.07355,1.07358,1.07354,1.07356,17,1,0
2024-07-01 01:44:00,1.07358,1.07358,1.07355,1.07355,21,1,0
2024-07-01 01:45:00,1.07355,1.07357,1.0735,1.07353,19,1,0
2024-07-01 01:46:00,1.07353,1.07353,1.0735,1.07352,18,1,0
2024-07-01 01:47:00,1.07352,1.07353,1.0735,1.07352,10,1,0
2024-07-01 01:48:00,1.07352,1.07355,1.0735,1.07352,10,1,0
2024-07-01 01:49:00,1.07352,1.07356,1.07352,1.07356,7,1,0
2024-07-01 01:50:00,1.07356,1.07361,1.07352,1.07361,15,1,0
2024-07-01 01:51:00,1.07361,1.07363,1.07361,1.07362,15,1,0
2024-07-01 01:52:00,1.07362,1.07362,1.07356,1.07358,16,1,0
2024-07-01 01:53:00,1.07358,1.07358,1.07356,1.07358,12,1,0
2024-07-01 01:54:00,1.07358,1.07358,1.07353,1.07355,12,1,0
2024-07-01 01:55:00,1.07356,1.07356,1.07353,1.07355,13,1,0
2024-07-01 01:56:00,1.07355,1.07356,1.07349,1.07353,25,1,0
2024-07-01 01:57:00,1.07352,1.07353,1.07352,1.07353,10,1,0
2024-07-01 01:58:00,1.07352,1.07372,1.07352,1.07365,17,1,0
2024-07-01 01:59:00,1.07361,1.07372,1.07361,1.0737,12,1,0
2024-07-01 02:00:00,1.07372,1.0737700000000001,1.07368,1.07374,29,1,0
2024-07-01 02:01:00,1.07376,1.0737700000000001,1.07374,1.07376,15,1,0
2024-07-01 02:02:00,1.07375,1.0737700000000001,1.07372,1.07373,21,1,0
2024-07-01 02:03:00,1.07372,1.07376,1.07371,1.07373,21,1,0
2024-07-01 02:04:00,1.07369,1.07376,1.07369,1.07376,16,1,0
2024-07-01 02:05:00,1.07376,1.0737700000000001,1.07372,1.07374,7,1,0
2024-07-01 02:06:00,1.07374,1.07375,1.07373,1.07375,18,1,0
2024-07-01 02:07:00,1.07374,1.07375,1.07372,1.07372,17,1,0
2024-07-01 02:08:00,1.07373,1.07373,1.07369,1.07373,11,1,0
2024-07-01 02:09:00,1.07373,1.07373,1.07372,1.07372,4,1,0
2024-07-01 02:10:00,1.07372,1.07376,1.07369,1.07376,6,1,0
2024-07-01 02:11:00,1.07376,1.07386,1.07375,1.07385,15,1,0
2024-07-01 02:12:00,1.07385,1.07387,1.07384,1.07386,14,1,0
2024-07-01 02:13:00,1.07386,1.0739,1.07384,1.07387,17,1,0
2024-07-01 02:14:00,1.07389,1.07392,1.07379,1.07391,24,1,0
2024-07-01 02:15:00,1.07391,1.07396,1.07389,1.07395,15,1,0
2024-07-01 02:16:00,1.07395,1.07395,1.07386,1.07391,14,1,0
2024-07-01 02:17:00,1.07391,1.07392,1.07387,1.0739,16,1,0
2024-07-01 02:18:00,1.07389,1.07392,1.07388,1.07389,14,1,0
2024-07-01 02:19:00,1.07388,1.07388,1.07385,1.07385,12,1,0
2024-07-01 02:20:00,1.07385,1.07389,1.07385,1.07386,16,1,0
2024-07-01 02:21:00,1.07385,1.07388,1.07384,1.07384,21,1,0
2024-07-01 02:22:00,1.07385,1.07385,1.07381,1.07384,15,1,0
2024-07-01 02:23:00,1.07385,1.07385,1.07382,1.07384,7,1,0
2024-07-01 02:24:00,1.07382,1.07382,1.07381,1.07382,3,1,0
2024-07-01 02:25:00,1.07382,1.07385,1.07375,1.07376,15,1,0
2024-07-01 02:26:00,1.07375,1.0737700000000001,1.07375,1.07376,16,1,0
2024-07-01 02:27:00,1.0737700000000001,1.07378,1.07375,1.07376,13,1,0
2024-07-01 02:28:00,1.07375,1.07376,1.07374,1.07376,8,1,0
2024-07-01 02:29:00,1.0737700000000001,1.0737700000000001,1.07364,1.07366,20,1,0
2024-07-01 02:30:00,1.07366,1.07369,1.07363,1.07364,12,1,0
2024-07-01 02:31:00,1.07366,1.07367,1.0735999999999999,1.07367,17,1,0
2024-07-01 02:32:00,1.07366,1.0737,1.07365,1.07367,10,1,0
2024-07-01 02:33:00,1.07367,1.07368,1.07367,1.07368,4,1,0
2024-07-01 02:34:00,1.07368,1.07371,1.07364,1.07368,10,1,0
2024-07-01 02:35:00,1.07368,1.07368,1.07364,1.07368,5,1,0
2024-07-01 02:36:00,1.07368,1.07368,1.07368,1.07368,1,1,0
2024-07-01 02:37:00,1.07367,1.07368,1.07366,1.07368,7,1,0
2024-07-01 02:38:00,1.07368,1.07368,1.07366,1.07368,5,1,0
2024-07-01 02:39:00,1.07368,1.07368,1.07364,1.07368,5,1,0
2024-07-01 02:40:00,1.07368,1.07369,1.07368,1.07368,3,1,0
2024-07-01 02:41:00,1.07365,1.07368,1.07364,1.07368,9,1,0
2024-07-01 02:42:00,1.07368,1.07368,1.07366,1.07367,10,1,0
2024-07-01 02:43:00,1.07368,1.07368,1.07366,1.07367,13,1,0
2024-07-01 02:44:00,1.07367,1.07368,1.07366,1.07367,7,1,0
2024-07-01 02:45:00,1.07367,1.07371,1.07367,1.07368,8,1,0
2024-07-01 02:46:00,1.07368,1.07372,1.07367,1.07371,9,1,0
2024-07-01 02:47:00,1.07371,1.07372,1.0737,1.07371,5,1,0
2024-07-01 02:48:00,1.07371,1.07371,1.0737,1.0737,6,1,0
2024-07-01 02:49:00,1.0737,1.07371,1.07361,1.07364,15,1,0
2024-07-01 02:50:00,1.07364,1.07364,1.07358,1.07358,24,1,0
2024-07-01 02:51:00,1.07357,1.07361,1.07357,1.0735999999999999,12,1,0
2024-07-01 02:52:00,1.0735999999999999,1.07361,1.07356,1.07361,10,1,0
2024-07-01 02:53:00,1.07361,1.07361,1.07361,1.07361,1,2,0
2024-07-01 02:54:00,1.07361,1.07364,1.07357,1.07363,9,1,0
2024-07-01 02:55:00,1.07364,1.07364,1.07357,1.07358,13,1,0
2024-07-01 02:56:00,1.0735999999999999,1.0735999999999999,1.07352,1.07354,10,1,0
2024-07-01 02:57:00,1.07355,1.07355,1.07349,1.0735,9,1,0
2024-07-01 02:58:00,1.07349,1.07352,1.0734,1.07352,15,0,0
2024-07-01 02:59:00,1.07351,1.07351,1.07348,1.07351,9,1,0
2024-07-01 03:00:00,1.07351,1.07356,1.07347,1.07354,33,1,0
2024-07-01 03:01:00,1.07355,1.07371,1.07352,1.07366,28,0,0
2024-07-01 03:02:00,1.07367,1.07381,1.07367,1.07374,39,1,0
